Original Text;Translated Text
"Please, select the image:";"Por favor, selecione a imagem:"
"Select the method:";"Selecione o método:"
"RGB, R, G or B";"RGB, R, G ou B"
"Name the output image:";"Nomeie a imagem de saída:"
"Type the message:";"Digite a mensagem:"
"ERROR: The image is too small. Please, type a smaller message or select a bigger image.";"ERRO: A imagem é pequena demais. Por favor, digite uma mensagem menor ou selecione uma imagem maior."
"Done.\nOcculted message:";"Feito.\nMensagem ocultada:"
"Original Image:";"Imagem original:"
"Output Image:";"Imagem final:"
"No hidden message.";"Sem mensagem escondida."
